index, timestamp, temp, press, humid, alt, millis, ir, full, visible, lux, tvoc, eco2, h2, eth
0, 19:13:24, 0.00,0.00,0.00,0.00,44330.00, 
1, 19:13:25, 12557,854,5232,4378,199.288696,0,0,0,0
 
2, 19:13:26, 0.00,0.00,0.00,0.00,44330.00, 
3, 19:13:26, 13920,854,5234,4380,199.394608,0,0,0,0
 
4, 19:13:27, 0.00,0.00,0.00,0.00,44330.00, 
5, 19:13:27, 15283,855,5232,4377,199.197662,0,0,0,0
 
6, 19:13:28, 0.00,0.00,0.00,0.00,44330.00, 
7, 19:13:29, 16646,854,5233,4379,199.341644,0,0,0,0
 
8, 19:13:30, 0.00,0.00,0.00,0.00,44330.00, 
9, 19:13:30, 18009,856,5239,4383,199.477280,0,0,0,0
 
