index, timestamp, temp, press, humid, alt, millis, ir, full, visible, lux, tvoc, eco2, h2, eth
0, 16:31:30, b'0.00,0.00,0.00,0.00,44330.00,' 
1, 16:31:31, b'12533,971,6126,5155,235.982208,0,0,0,0\r\n' 
2, 16:31:32, b'0.00,0.00,0.00,0.00,44330.00,' 
3, 16:31:32, b'13896,970,6123,5153,235.914658,0,0,0,0\r\n' 
4, 16:31:33, b'0.00,0.00,0.00,0.00,44330.00,' 
5, 16:31:33, b'15259,973,6136,5163,236.329437,0,0,0,0\r\n' 
6, 16:31:34, b'0.00,0.00,0.00,0.00,44330.00,' 
7, 16:31:35, b'16622,973,6137,5164,236.382446,0,0,0,0\r\n' 
8, 16:31:36, b'0.00,0.00,0.00,0.00,44330.00,' 
9, 16:31:36, b'17985,972,6137,5165,236.474014,0,0,0,0\r\n' 
