index, timestamp, temp, press, humid, gas, alt, millis, ir, full, visible, lux, tvoc, eco2, h2, eth
0, 08:40:23, b'0.00,0.00,0.00,0.00,44330.00,17861,1758,11893,10135,469.845428,0,0,0,0\r\n'
1, 08:40:24, b'0.00,0.00,0.00,0.00,44330.00,19223,1761,11906,10145,470.259003,0,0,0,0\r\n'
2, 08:40:25, b'0.00,0.00,0.00,0.00,44330.00,20585,1755,11869,10114,468.846497,0,0,0,0\r\n'
3, 08:40:27, b'0.00,0.00,0.00,0.00,44330.00,21947,1758,11892,10134,469.792175,0,0,0,0\r\n'
4, 08:40:28, b'0.00,0.00,0.00,0.00,44330.00,23309,1753,11860,10107,468.552979,0,0,0,0\r\n'
