index, timestamp, temp, press, humid, alt, millis, ir, full, visible, lux, tvoc, eco2, h2, eth
0, 17:41:11, 0.00,0.00,0.00,0.00,44330.00, 
1, 17:41:11, 12589,1253,8309,7056,325.962219,0,0,0,0
 
2, 17:41:12, 0.00,0.00,0.00,0.00,44330.00, 
3, 17:41:13, 13952,1252,8300,7048,325.576172,0,0,0,0
 
4, 17:41:14, 0.00,0.00,0.00,0.00,44330.00, 
5, 17:41:14, 15315,1253,8311,7058,326.068542,0,0,0,0
 
6, 17:41:15, 0.00,0.00,0.00,0.00,44330.00, 
7, 17:41:15, 16678,1251,8295,7044,325.402740,0,0,0,0
 
8, 17:41:16, 0.00,0.00,0.00,0.00,44330.00, 
9, 17:41:17, 18041,1255,8322,7067,326.468567,0,0,0,0
 
