index, timestamp, temp, press, humid, alt, millis, ir, full, visible, lux, tvoc, eco2, h2, eth
0, 19:22:08, 0.00,0.00,0.00,0.00,44330.00, 
1, 19:22:09, 12607,807,4934,4127,187.788376,0,0,0,0
 
2, 19:22:10, 0.00,0.00,0.00,0.00,44330.00, 
3, 19:22:10, 13970,807,4931,4124,187.629532,0,0,0,0
 
4, 19:22:11, 0.00,0.00,0.00,0.00,44330.00, 
5, 19:22:11, 15333,804,4918,4114,187.214264,0,0,0,0
 
6, 19:22:12, 0.00,0.00,0.00,0.00,44330.00, 
7, 19:22:13, 16696,807,4933,4126,187.735443,0,0,0,0
 
8, 19:22:14, 0.00,0.00,0.00,0.00,44330.00, 
9, 19:22:14, 18059,807,4930,4123,187.576599,0,0,0,0
 
