index, timestamp, temp, press, humid, alt, millis, ir, full, visible, lux, tvoc, eco2, h2, eth
0, 17:34:41, 0.00,0.00,0.00,0.00,44330.00, 
1, 17:34:41, 12621,1298,8619,7321,338.285065,0,0,0,0
 
2, 17:34:42, 0.00,0.00,0.00,0.00,44330.00, 
3, 17:34:43, 13984,1299,8628,7329,338.671173,0,0,0,0
 
4, 17:34:44, 0.00,0.00,0.00,0.00,44330.00, 
5, 17:34:44, 15347,1300,8627,7327,338.525574,0,0,0,0
 
6, 17:34:45, 0.00,0.00,0.00,0.00,44330.00, 
7, 17:34:45, 16710,1300,8629,7329,338.631897,0,0,0,0
 
8, 17:34:46, 0.00,0.00,0.00,0.00,44330.00, 
9, 17:34:47, 18073,1303,8633,7330,338.567383,0,0,0,0
 
